cpf_cnpj;status_conta;tipo_pessoa;des_segmento;nome_razao_social;dt_renovacao_cadastral;des_email;nucleo;idade;data_nascimento;des_cbo;cod_conglomerado;flg_sexo;tel_cel;endereco_completo;nome_pessoa_conj;cpf_conj;estado_civil;nome_regime_bem;vlr_saldo_atual_capital;num_matricula;dat_associacao;nacionalidade;faixa_principalidade;sld_cred_rural;sld_cred_comercial;sld_cred_direcionados;sld_cred_rural_direc;vlr_limite_cheque_especial;vlr_limite_cartao_liberado;vlr_bens_total;faixa_risco;last_update;saldo;vlr_bem_total;cpf_cnpj_titular;num_cpf_cnpj;cpf_corrent;num_cpf_cnpj_y;des_estado_civil;des_pessoa;num_cpf_cnpj_x;endereco;numero;complemento;bairro;municipio;estado;cep;flg_ativo
90000001147;CONTA ATIVA;PF;PF Urbano;MARTA LIMA;2026-01-23 00:00:00.000;marta.lima@teste.local;712;41.0;1985-07-03 00:00:00.000;Analista;;feminino;44999000011;RUA CONFLITO, 11, CASA - ZONA 1 - MARINGA/PR;RICARDO DIAS;90000001228;Casado(A);Comunhao Parcial De Bens;2600.00;000400011;2017-08-22 00:00:00.000;Brasileiro(a);Principal;0.00;0.00;0.00;0.00;600.00;2500.00;50000.00;Medio 1;2026-06-18 17:35:36.151;2600.00;50000.00;;90000001147;90000001147;;Casado(A);MARTA LIMA;;RUA CONFLITO;11;CASA;ZONA 1;MARINGA;PR;87000000;S
90000001228;CONTA ATIVA;PF;PF Urbano;RICARDO DIAS;2026-01-23 00:00:00.000;ricardo.dias@teste.local;713;44.0;1982-04-14 00:00:00.000;Tecnico;;masculino;44999000012;RUA CONFLITO, 12, CASA - ZONA 1 - MARINGA/PR;SILVIA RAMOS;90000001309;Casado(A);Comunhao Parcial De Bens;2700.00;000400012;2017-08-22 00:00:00.000;Brasileiro(a);Principal;0.00;0.00;0.00;0.00;600.00;2500.00;50000.00;Medio 1;2026-06-18 17:35:36.151;2700.00;50000.00;;90000001228;90000001228;;Casado(A);RICARDO DIAS;;RUA CONFLITO;12;CASA;ZONA 1;MARINGA;PR;87000000;S
90000001309;CONTA ATIVA;PF;PF Urbano;SILVIA RAMOS;2026-01-23 00:00:00.000;silvia.ramos@teste.local;714;39.0;1987-09-09 00:00:00.000;Professora;;feminino;44999000013;RUA CONFLITO, 13, CASA - ZONA 1 - MARINGA/PR;RICARDO DIAS;90000001228;Casado(A);Comunhao Parcial De Bens;2800.00;000400013;2017-08-22 00:00:00.000;Brasileiro(a);Principal;0.00;0.00;0.00;0.00;600.00;2500.00;50000.00;Medio 1;2026-06-18 17:35:36.151;2800.00;50000.00;;90000001309;90000001309;;Casado(A);SILVIA RAMOS;;RUA CONFLITO;13;CASA;ZONA 1;MARINGA;PR;87000000;S
90000001490;CONTA ATIVA;PF;PF Urbano;CLAUDIA NUNES;2026-01-23 00:00:00.000;claudia.nunes@teste.local;715;38.0;1988-01-22 00:00:00.000;Arquiteta;;feminino;44999000014;RUA CONFLITO, 14, CASA - ZONA 1 - MARINGA/PR;RICARDO DIAS;90000001228;Casado(A);Comunhao Parcial De Bens;2900.00;000400014;2017-08-22 00:00:00.000;Brasileiro(a);Principal;0.00;0.00;0.00;0.00;600.00;2500.00;50000.00;Medio 1;2026-06-18 17:35:36.151;2900.00;50000.00;;90000001490;90000001490;;Casado(A);CLAUDIA NUNES;;RUA CONFLITO;14;CASA;ZONA 1;MARINGA;PR;87000000;S
90000001570;CONTA ATIVA;PF;PF Urbano;DANILO MORAES;2026-01-23 00:00:00.000;daniel.moraes.a@teste.local;716;36.0;1988-05-05 00:00:00.000;Motorista;;masculino;47999000015;RUA DUPLICIDADE, 1, CASA - CENTRO - JOINVILLE/SC;;;Solteiro(A);;1300.00;000400015;2017-08-22 00:00:00.000;Brasileiro(a);Principal;0.00;0.00;0.00;0.00;600.00;2500.00;50000.00;Medio 1;2026-06-18 17:35:36.151;1300.00;50000.00;;90000001570;90000001570;;Solteiro(A);DANILO MORAES;;RUA DUPLICIDADE;1;CASA;CENTRO;JOINVILLE;SC;89200000;S
90000001651;CONTA ATIVA;PF;PF Urbano;DANIEL MORAES;2026-01-23 00:00:00.000;daniel.moraes.b@teste.local;717;34.0;1992-05-05 00:00:00.000;Motorista;;masculino;47999000016;RUA DUPLICIDADE, 2, CASA - CENTRO - JOINVILLE/SC;;;Solteiro(A);;1400.00;000400016;2017-08-22 00:00:00.000;Brasileiro(a);Principal;0.00;0.00;0.00;0.00;600.00;2500.00;50000.00;Medio 1;2026-06-18 17:35:36.151;1400.00;50000.00;;90000001651;90000001651;;Solteiro(A);DANIEL MORAES;;RUA DUPLICIDADE;2;CASA;CENTRO;JOINVILLE;SC;89200000;S
90000001732;CONTA ATIVA;PF;PF Urbano;ANTONIO LIMA;2026-01-23 00:00:00.000;antonio.lima1@teste.local;718;64.0;1962-01-02 00:00:00.000;Aposentado;;masculino;47999000017;RUA AMBIGUA, 100, CASA - VELHA - BLUMENAU/SC;;;Casado(A);Comunhao Parcial De Bens;800.00;000400017;2017-08-22 00:00:00.000;Brasileiro(a);Principal;0.00;0.00;0.00;0.00;600.00;2500.00;50000.00;Medio 1;2026-06-18 17:35:36.151;800.00;50000.00;;90000001732;90000001732;;Casado(A);ANTONIO LIMA;;RUA AMBIGUA;100;CASA;VELHA;BLUMENAU;SC;89000000;S
90000001813;CONTA ATIVA;PF;PF Urbano;ANTONIO LIMA;2026-01-23 00:00:00.000;antonio.lima2@teste.local;719;62.0;1964-02-03 00:00:00.000;Comerciante;;masculino;47999000018;RUA AMBIGUA, 102, CASA - VELHA - BLUMENAU/SC;;;Casado(A);Comunhao Parcial De Bens;850.00;000400018;2017-08-22 00:00:00.000;Brasileiro(a);Principal;0.00;0.00;0.00;0.00;600.00;2500.00;50000.00;Medio 1;2026-06-18 17:35:36.151;850.00;50000.00;;90000001813;90000001813;;Casado(A);ANTONIO LIMA;;RUA AMBIGUA;102;CASA;VELHA;BLUMENAU;SC;89000000;S
90000001902;CONTA ATIVA;PF;PF Urbano;FELIPE LIMA;2026-01-23 00:00:00.000;felipe.lima@teste.local;720;31.0;1995-08-16 00:00:00.000;Vendedor;;masculino;47999000019;RUA AMBIGUA, 104, CASA - VELHA - BLUMENAU/SC;;;Solteiro(A);;400.00;000400019;2017-08-22 00:00:00.000;Brasileiro(a);Principal;0.00;0.00;0.00;0.00;600.00;2500.00;50000.00;Medio 1;2026-06-18 17:35:36.151;400.00;50000.00;;90000001902;90000001902;;Solteiro(A);FELIPE LIMA;;RUA AMBIGUA;104;CASA;VELHA;BLUMENAU;SC;89000000;S
90000002038;CONTA ATIVA;PF;PF Urbano;PEDRO JOVEM;2026-01-23 00:00:00.000;pedro.jovem@teste.local;721;26.0;2000-01-01 00:00:00.000;Auxiliar;;masculino;41999000020;RUA IDADE, 77, CASA - PORTAO - CURITIBA/PR;;;Solteiro(A);;300.00;000400020;2017-08-22 00:00:00.000;Brasileiro(a);Principal;0.00;0.00;0.00;0.00;600.00;2500.00;50000.00;Medio 1;2026-06-18 17:35:36.151;300.00;50000.00;;90000002038;90000002038;;Solteiro(A);PEDRO JOVEM;;RUA IDADE;77;CASA;PORTAO;CURITIBA;PR;80000004;S
90000002119;CONTA ATIVA;PF;PF Urbano;LUCAS JOVEM;2026-01-23 00:00:00.000;lucas.jovem@teste.local;722;18.0;2008-04-01 00:00:00.000;Estudante;;masculino;41999000021;RUA IDADE, 77, CASA - PORTAO - CURITIBA/PR;;;Solteiro(A);;50.00;000400021;2017-08-22 00:00:00.000;Brasileiro(a);Principal;0.00;0.00;0.00;0.00;600.00;2500.00;50000.00;Medio 1;2026-06-18 17:35:36.151;50.00;50000.00;;90000002119;90000002119;;Solteiro(A);LUCAS JOVEM;;RUA IDADE;77;CASA;PORTAO;CURITIBA;PR;80000004;S
90000002208;CONTA ATIVA;PF;PF Urbano;SELF PARENT;2026-01-23 00:00:00.000;self.parent@teste.local;723;36.0;1990-10-10 00:00:00.000;Autonomo;;masculino;41999000022;RUA SELF, 1, CASA - CENTRO - CURITIBA/PR;;;Solteiro(A);;60.00;000400022;2017-08-22 00:00:00.000;Brasileiro(a);Principal;0.00;0.00;0.00;0.00;600.00;2500.00;50000.00;Medio 1;2026-06-18 17:35:36.151;60.00;50000.00;;90000002208;90000002208;;Solteiro(A);SELF PARENT;;RUA SELF;1;CASA;CENTRO;CURITIBA;PR;80000005;S
90000002380;CONTA ATIVA;PF;PF Urbano;NADIA COMPARTILHADA;2026-01-23 00:00:00.000;contato.compartilhado@teste.local;724;37.0;1989-06-06 00:00:00.000;Analista;;feminino;19999888777;RUA CONTATO, 500, APTO 12 - CENTRO - CAMPINAS/SP;;;Solteiro(A);;1700.00;000400023;2017-08-22 00:00:00.000;Brasileiro(a);Principal;0.00;0.00;0.00;0.00;600.00;2500.00;50000.00;Medio 1;2026-06-18 17:35:36.151;1700.00;50000.00;;90000002380;90000002380;;Solteiro(A);NADIA COMPARTILHADA;;RUA CONTATO;500;APTO 12;CENTRO;CAMPINAS;SP;13000000;S
90000002461;CONTA ATIVA;PF;PF Urbano;OTAVIO COMPARTILHADO;2026-01-23 00:00:00.000;contato.compartilhado@teste.local;725;40.0;1986-07-07 00:00:00.000;Consultor;;masculino;19999888777;RUA CONTATO, 500, APTO 12 - CENTRO - CAMPINAS/SP;;;Solteiro(A);;1800.00;000400024;2017-08-22 00:00:00.000;Brasileiro(a);Principal;0.00;0.00;0.00;0.00;600.00;2500.00;50000.00;Medio 1;2026-06-18 17:35:36.151;1800.00;50000.00;;90000002461;90000002461;;Solteiro(A);OTAVIO COMPARTILHADO;;RUA CONTATO;500;APTO 12;CENTRO;CAMPINAS;SP;13000000;S
90000002542;CONTA ATIVA;PF;PF Urbano;HELIO EXCEDENTE;2026-01-23 00:00:00.000;helio.excedente@teste.local;726;47.0;1979-03-03 00:00:00.000;Empresario;;masculino;43999000025;RUA EXCEDENTE, 70, CASA - CENTRO - LONDRINA/PR;;;Casado(A);Comunhao Parcial De Bens;2200.00;000400025;2017-08-22 00:00:00.000;Brasileiro(a);Principal;0.00;0.00;0.00;0.00;600.00;2500.00;50000.00;Medio 1;2026-06-18 17:35:36.151;2200.00;50000.00;;90000002542;90000002542;;Casado(A);HELIO EXCEDENTE;;RUA EXCEDENTE;70;CASA;CENTRO;LONDRINA;PR;86000000;S
90000002623;CONTA ATIVA;PF;PF Urbano;IARA EXCEDENTE;2026-01-23 00:00:00.000;iara.excedente@teste.local;727;45.0;1981-04-04 00:00:00.000;Empresaria;;feminino;43999000026;RUA EXCEDENTE, 40, CASA - CENTRO - LONDRINA/PR;;;Casado(A);Comunhao Parcial De Bens;2300.00;000400026;2017-08-22 00:00:00.000;Brasileiro(a);Principal;0.00;0.00;0.00;0.00;600.00;2500.00;50000.00;Medio 1;2026-06-18 17:35:36.151;2300.00;50000.00;;90000002623;90000002623;;Casado(A);IARA EXCEDENTE;;RUA EXCEDENTE;40;CASA;CENTRO;LONDRINA;PR;86000000;S
00000000000;CONTA ATIVA;PF;PF Urbano;DOCUMENTO INVALIDO;2026-01-23 00:00:00.000;doc.invalido@teste.local;728;27.0;1999-09-09 00:00:00.000;Testador;;masculino;41999000027;RUA INVALIDA, 0 - CENTRO - CURITIBA/PR;;;Solteiro(A);;10.00;000400027;2017-08-22 00:00:00.000;Brasileiro(a);Principal;0.00;0.00;0.00;0.00;600.00;2500.00;50000.00;Default;2026-06-18 17:35:36.151;10.00;50000.00;;00000000000;00000000000;;Solteiro(A);DOCUMENTO INVALIDO;;RUA INVALIDA;0;;CENTRO;CURITIBA;PR;80000999;S
90100001000109;CONTA ATIVA;PJ;PJ Empresas;ALMEIDA HOLDING LTDA;2026-02-10 00:00:00.000;almeida.holding.ltda@empresa.local;900;;;;99999;;4133000000;AVENIDA EMPRESARIAL, 1000 - CENTRO - CURITIBA/PR;;;;;80000.00;;2018-01-01 00:00:00.000;;Principal;0.00;25000.00;0.00;0.00;10000.00;15000.00;250000.00;Medio 1;2026-06-18 18:00:00.000;80000.00;250000.00;;90100001000109;;;;ALMEIDA HOLDING LTDA;;AVENIDA EMPRESARIAL;1000;;CENTRO;CURITIBA;PR;80000100;S
90100002000145;CONTA ATIVA;PJ;PJ Empresas;ALMEIDA SERVICOS LTDA;2026-02-10 00:00:00.000;almeida.servicos.ltda@empresa.local;900;;;;99999;;4133000000;AVENIDA EMPRESARIAL, 1000 - CENTRO - CURITIBA/PR;;;;;65000.00;;2018-01-01 00:00:00.000;;Principal;0.00;25000.00;0.00;0.00;10000.00;15000.00;250000.00;Medio 2;2026-06-18 18:00:00.000;65000.00;250000.00;;90100002000145;;;;ALMEIDA SERVICOS LTDA;;AVENIDA EMPRESARIAL;1000;;CENTRO;CURITIBA;PR;80000100;S
90100003000190;CONTA ATIVA;PJ;PJ Empresas;COMERCIO PARCEIRO LTDA;2026-02-10 00:00:00.000;comercio.parceiro.ltda@empresa.local;900;;;;99999;;4133000000;AVENIDA EMPRESARIAL, 1000 - CENTRO - CURITIBA/PR;;;;;120000.00;;2018-01-01 00:00:00.000;;Principal;0.00;25000.00;0.00;0.00;10000.00;15000.00;250000.00;Baixissimo;2026-06-18 18:00:00.000;120000.00;250000.00;;90100003000190;;;;COMERCIO PARCEIRO LTDA;;AVENIDA EMPRESARIAL;1000;;CENTRO;CURITIBA;PR;80000100;S
90100004000134;CONTA ATIVA;PJ;PJ Empresas;ALMEIDA MARTINS PARTICIPACOES LTDA;2026-02-10 00:00:00.000;almeida.martins.participacoes.ltda@empresa.local;900;;;;99999;;4133000000;AVENIDA EMPRESARIAL, 1000 - CENTRO - CURITIBA/PR;;;;;45000.00;;2018-01-01 00:00:00.000;;Principal;0.00;25000.00;0.00;0.00;10000.00;15000.00;250000.00;Medio 1;2026-06-18 18:00:00.000;45000.00;250000.00;;90100004000134;;;;ALMEIDA MARTINS PARTICIPACOES LTDA;;AVENIDA EMPRESARIAL;1000;;CENTRO;CURITIBA;PR;80000100;S
90100005000189;CONTA ATIVA;PJ;PJ Empresas;SOMA EXCEDENTE LTDA;2026-02-10 00:00:00.000;soma.excedente.ltda@empresa.local;900;;;;99999;;4133000000;AVENIDA EMPRESARIAL, 1000 - CENTRO - CURITIBA/PR;;;;;1000.00;;2018-01-01 00:00:00.000;;Principal;0.00;25000.00;0.00;0.00;10000.00;15000.00;250000.00;Alto 2;2026-06-18 18:00:00.000;1000.00;250000.00;;90100005000189;;;;SOMA EXCEDENTE LTDA;;AVENIDA EMPRESARIAL;1000;;CENTRO;CURITIBA;PR;80000100;S
90100006000123;CONTA ATIVA;PJ;PJ Empresas;CICLO A PARTICIPACOES LTDA;2026-02-10 00:00:00.000;ciclo.a.participacoes.ltda@empresa.local;900;;;;99999;;4133000000;AVENIDA EMPRESARIAL, 1000 - CENTRO - CURITIBA/PR;;;;;500.00;;2018-01-01 00:00:00.000;;Principal;0.00;25000.00;0.00;0.00;10000.00;15000.00;250000.00;Alto 2;2026-06-18 18:00:00.000;500.00;250000.00;;90100006000123;;;;CICLO A PARTICIPACOES LTDA;;AVENIDA EMPRESARIAL;1000;;CENTRO;CURITIBA;PR;80000100;S
90100007000178;CONTA ATIVA;PJ;PJ Empresas;CICLO B PARTICIPACOES LTDA;2026-02-10 00:00:00.000;ciclo.b.participacoes.ltda@empresa.local;900;;;;99999;;4133000000;AVENIDA EMPRESARIAL, 1000 - CENTRO - CURITIBA/PR;;;;;600.00;;2018-01-01 00:00:00.000;;Principal;0.00;25000.00;0.00;0.00;10000.00;15000.00;250000.00;Alto 2;2026-06-18 18:00:00.000;600.00;250000.00;;90100007000178;;;;CICLO B PARTICIPACOES LTDA;;AVENIDA EMPRESARIAL;1000;;CENTRO;CURITIBA;PR;80000100;S
90100010000191;CONTA ATIVA;PJ;PJ Empresas;AUTO SOCIO LTDA;2026-02-10 00:00:00.000;auto.socio.ltda@empresa.local;900;;;;99999;;4133000000;AVENIDA EMPRESARIAL, 1000 - CENTRO - CURITIBA/PR;;;;;300.00;;2018-01-01 00:00:00.000;;Principal;0.00;25000.00;0.00;0.00;10000.00;15000.00;250000.00;Default;2026-06-18 18:00:00.000;300.00;250000.00;;90100010000191;;;;AUTO SOCIO LTDA;;AVENIDA EMPRESARIAL;1000;;CENTRO;CURITIBA;PR;80000100;S
90100011000136;CONTA ATIVA;PJ;PJ Empresas;PAGADORA MOVIMENTOS LTDA;2026-02-10 00:00:00.000;pagadora.movimentos.ltda@empresa.local;900;;;;99999;;4133000000;AVENIDA EMPRESARIAL, 1000 - CENTRO - CURITIBA/PR;;;;;150000.00;;2018-01-01 00:00:00.000;;Principal;0.00;25000.00;0.00;0.00;10000.00;15000.00;250000.00;Medio 1;2026-06-18 18:00:00.000;150000.00;250000.00;;90100011000136;;;;PAGADORA MOVIMENTOS LTDA;;AVENIDA EMPRESARIAL;1000;;CENTRO;CURITIBA;PR;80000100;S
90100012000180;CONTA ATIVA;PJ;PJ Empresas;;2026-02-10 00:00:00.000;@empresa.local;900;;;;99999;;4133000000;AVENIDA EMPRESARIAL, 1000 - CENTRO - CURITIBA/PR;;;;;200.00;;2018-01-01 00:00:00.000;;Principal;0.00;25000.00;0.00;0.00;10000.00;15000.00;250000.00;Default;2026-06-18 18:00:00.000;200.00;250000.00;;90100012000180;;;;;;AVENIDA EMPRESARIAL;1000;;CENTRO;CURITIBA;PR;80000100;S
11111111000111;CONTA ATIVA;PJ;PJ Empresas;CNPJ INVALIDO TESTE LTDA;2026-02-10 00:00:00.000;cnpj.invalido.teste.ltda@empresa.local;900;;;;99999;;4133000000;AVENIDA EMPRESARIAL, 1000 - CENTRO - CURITIBA/PR;;;;;100.00;;2018-01-01 00:00:00.000;;Principal;0.00;25000.00;0.00;0.00;10000.00;15000.00;250000.00;Default;2026-06-18 18:00:00.000;100.00;250000.00;;11111111000111;;;;CNPJ INVALIDO TESTE LTDA;;AVENIDA EMPRESARIAL;1000;;CENTRO;CURITIBA;PR;80000100;S
;CONTA ATIVA;PJ;PJ Empresas;EMPRESA SEM DOCUMENTO TESTE;2026-02-10 00:00:00.000;empresa.sem.documento.teste@empresa.local;900;;;;99999;;4133000000;AVENIDA EMPRESARIAL, 1000 - CENTRO - CURITIBA/PR;;;;;0.00;;2018-01-01 00:00:00.000;;Principal;0.00;25000.00;0.00;0.00;10000.00;15000.00;250000.00;Default;2026-06-18 18:00:00.000;0.00;250000.00;;;;;;EMPRESA SEM DOCUMENTO TESTE;;AVENIDA EMPRESARIAL;1000;;CENTRO;CURITIBA;PR;80000100;S
